"FSC-A";"FSC-H";"FSC-W";"SSC-A";"SSC-H";"SSC-W";"CD95";"CD8";"CD27";"CXCR4";"CCR7";"LIVE/DEAD";"CD4";"CD45RA";"CD3";"CD49b";"CD14/19";"CD69";"CD103";"TIME"
129364.6;109594;77358.63;43894.5;40394;71215.28;151.2063;5.859768;1894.444;14.7986;3485.375;647.7054;2027.678;1591.44;4950.747;17.64205;152.4338;43.03715;93.63601;106.4
103394.4;86767;78094.87;49870.86;46107;70885.91;944.7036;15.88772;386.944;101.9042;632.235;586.0396;2251.75;-12.89122;2812.345;25.55663;222.1482;3693.368;-12.83804;106.9
109943.9;94563;76195.59;65523.12;62631;68562.27;600.3865;42.16629;872.2272;134.4293;192.0268;554.2963;1745.531;6.195099;3627.081;-18.99914;158.3933;65.67064;-59.96286;107.8
136762.8;117310;76403.45;61865.7;57178;70908.92;489.6535;5935.338;744.925;44.46442;-57.7604;796.915;0.3107473;143.0438;4768.668;-58.33591;49.13696;229.3295;-86.15643;107.9
113088.9;90827;81599.04;91622.7;79963;75092.05;2024.31;7558.006;723.1343;-24.74111;697.6662;1989.301;-13.70315;238.2914;3629.518;137.8047;110.8193;154.9928;-79.37238;108.5
111050;96328;75551.98;85330.44;78908;70870.07;796.1894;3882.414;1765.052;21.15452;-54.38785;625.0815;-23.28812;161.599;3286.197;44.13526;65.58414;-5.03893;62.07001;108.9
161656.7;137121;77262.64;57595.2;52917;71329.8;609.2139;36.41309;111.3758;36.32582;-53.93637;243.1241;14.33688;158.1616;3333.915;68.19986;-135.0116;652.8185;-7.582336;109.5
115005.1;100643;74888.2;78820.55;69479;74347.41;1501.942;434.4106;1307.89;-47.11905;171.6873;1248.853;135.1405;266.8725;8908.674;73.39497;375.0824;152.4775;172.1243;109.7
135985.9;112874;78955.05;71108.7;65546;71097.84;1723.787;-77.20299;1557.067;36.33351;405.8625;1558.561;91.24447;594.8438;9607.382;109.7538;102.8132;82.07266;19.81078;109.8
158086.6;138626;74736.08;75856.55;72642;68436.1;125.079;9941.097;554.3785;26.30698;359.393;1256.957;5.763941;165.5513;4845.169;-31.35103;134.4902;6706.47;101.9875;110.7
174332.6;155155;73636.45;79008.54;72131;71784.72;494.6028;2081.174;812.1863;77.74362;194.5525;1352.717;-70.61928;12277.62;4391.903;-108.8301;20.28082;761.3091;137.2302;111.1
162185.2;144088;73767.2;76039.08;71224;69966.55;359.77;7980.172;371.2281;203.4508;145.6464;2021.8;199.5895;500.0197;4281.639;288.8802;-0.1754824;4771.495;43.30188;112
105234.7;93427;73818.69;48917.7;46563;68850.16;187.7355;27.19151;1245.622;53.86821;2079.797;411.4039;1919.104;2503.459;5751.657;77.68945;206.575;-149.8649;39.49887;112.8
143315.1;120563;77903.63;58113.12;49031;77675.37;1824.759;-19.81615;147.77;112.3986;506.0563;2119.152;73.89785;312.1728;6086.128;108.0839;13.1291;-141.4179;6.566864;114.2
159899.2;140695;74481.37;54746.64;50787;70645.55;381.9162;301.6576;90.96642;26.27805;-63.986;477.2807;2400.126;71.29102;2771.504;-116.4883;331.5263;8410.756;1248.595;114.7
76131.15;67531;73882.09;63669.06;59611;69997.41;1666.312;-17.40597;203.8538;109.717;597.3163;2339.601;194.2983;62.95766;3924.996;17.27386;284.743;-25.78297;45.06934;116.2
111361.9;101098;72189.47;56139.72;53358;68952.6;368.1677;-104.4549;1288.688;143.6766;1105.927;-33.0057;2348.032;400.7677;4458.143;8.723855;138.3177;17.8376;22.64162;116.5
124535.3;106391;76712.77;44229.9;41619;69647.3;961.0627;-89.11848;597.8732;49.51202;914.5535;1505.499;1942.785;319.3684;4616.054;-61.72356;104.0239;1589.998;-18.85352;118.5
128297.9;109683;76658.48;58903.26;55799;69181.96;693.3215;36.87939;1367.781;-26.85758;-15.11644;489.125;1272.386;-8.911898;5054.354;111.4825;62.97733;132.1204;25.94527;118.8
72039.45;58451;80771.55;100247.9;88503;74233.06;930.113;140.9061;1028.962;-21.83589;91.94981;1168.433;-153.606;2402.772;3224.54;-28.0032;95.8097;287.0232;28.5985;121.9
66792.69;57546;76066.55;71937.05;64090;73560.1;1452.031;21.22433;1350.52;47.528;562.5818;715.9354;2254.503;151.5862;5476.126;16.94625;428.9958;-70.44956;-23.67142;124.8
116936.4;101310;75644.48;32458.92;30446;69868.87;52.9118;-1.948999;1084.051;-68.90395;2310.581;640.8817;1996.296;896.3959;8001.667;296.3982;253.1262;141.431;73.59317;125
149755.5;129899;75553.92;57143.58;53487;70016.3;315.553;5516.905;1395.391;-24.26215;18.9312;609.9796;14.54815;270.0403;4840.838;37.83898;-22.32968;8045.108;7.736938;129.1
97142.34;77051;82624.76;62480.34;56879;71989.87;612.3239;2558.192;605.3007;85.3258;13.69148;597.2274;7.026567;268.5219;1998.894;-46.69234;104.3134;-20.59155;63.78879;132.2
106008.8;91506;75922.84;70379.4;65106;70844.23;499.3223;2259.026;567.7191;56.62305;968.3785;432.8159;6.843388;434.9273;4470.521;13.20085;109.1514;164.4883;-26.06332;134.8
174151.2;153851;74183.27;72113.34;57103;82763.07;511.9871;5117.125;877.9227;53.4641;-65.28549;493.7087;-23.71331;6803.363;4917.378;-94.8414;156.6626;9595.139;221.5624;136.1
198263.2;172199;75455.61;65177.58;56611;75453.15;1657.918;49.21391;1514.859;22.03169;187.778;778.0342;-23.32504;439.4776;10403.39;-21.19511;8.662442;151.1846;-14.90723;136.4
109827.3;94146;76451.92;59814.3;52578;74555.7;1654.416;0.03492737;1195.212;8.081244;-63.76997;1140.182;1676.069;139.8178;3012.983;4.007433;121.5856;9.041921;-33.94543;139.2
106621.6;92361;75654.78;64326.6;53817;78334.13;436.7414;246.3002;1340.428;204.7394;80.11961;1908.532;1435.229;334.6602;2849.946;133.5952;356.6838;20.31511;86.03741;139.8
100062.4;83356;78670.9;80423.46;73192;72011.04;1128.386;-6.709671;1605.438;74.03093;1003.395;149.8279;1589.168;235.895;5072.148;-6.074258;472.7751;-43.92062;-32.08678;140.3
102193.8;85406;78418.08;75046.91;60414;81409.52;468.8308;4931.997;939.5853;20.60389;324.629;2290.311;18.86095;5489.794;3646.148;108.4859;392.4564;1899.131;97.18384;141.1
173371.5;155195;73211.59;46966.92;44223;69602.33;946.5797;5265.257;919.2167;27.65483;-22.36935;304.6891;59.88998;1285.638;7298.066;79.45823;-14.8504;516.4383;-5.53479;141.2
129947.7;106830;79717.8;63243.96;57518;72060.16;942.7433;-48.5364;2228.218;56.82843;1471.083;463.9238;2630.232;113.6679;5364.915;-61.53683;136.1135;-65.40559;-17.34838;141.6
155344.5;127479;79861.46;71087.64;63299;73599.9;2890.803;-38.28693;93.43491;-34.98742;715.7217;444.195;2452.275;173.4987;4144.538;74.4724;196.9148;164.832;-73.29359;142.6
73548.48;61410;78490.03;60186.36;55218;71432.75;522.8255;2600.091;1172.424;81.70322;-15.87558;379.917;123.5714;16.86945;2768.267;13.53164;83.84872;114.7023;-72.71254;142.9
86693.67;71434;79535.75;35747.4;30350;77190.82;124.8278;1.449472;1194.733;-27.5914;2152.522;1865.967;1459.303;2541.862;2451.044;311.4815;160.6195;371.5327;80.5441;143.6
146606.4;124727;77032.2;50840.4;47027;70850.28;957.0032;4074.229;103.5346;62.69597;3.004662;454.5895;-27.71046;714.29;2437.816;-129.3861;41.87281;34.14993;23.7897;144.2
131719.6;112735;76572.3;37766.04;35451;69815.66;552.545;2034.251;1016.025;61.54184;-63.57163;884.3428;-26.41225;-77.36784;3918.927;-121.7778;-31.70779;2425.388;-5.697357;145.4
192821.2;162955;77547.36;81888.3;64859;82743.05;4650.183;166.1322;127.9964;-53.891;159.7357;984.5427;1861.323;152.6541;3187.731;2245.915;210.0971;-241.1161;54.60643;148.4
155092.7;131846;77091.11;49508.16;45174;71823.76;6337.511;-2.860039;1519.358;-73.53242;-32.16003;623.6747;2715.47;54.38707;6916.016;343.4626;265.201;-138.3128;-4.888977;150.4
86603.97;64059;88600.78;99931.26;86299;75888.43;723.3887;5190.464;160.1331;42.43275;78.76606;1948.419;36.79978;3874.179;3778.869;70.95103;85.61985;157.1579;-43.70422;150.7
112723.9;99427;74300.49;40881.36;38567;69468.73;114.1515;-77.19595;1125.139;-19.08146;2302.955;304.0032;2076.698;1055.929;7714.157;-35.56122;176.7487;-135.0929;7.99736;152.3
