"FSC-A";"FSC-H";"FSC-W";"SSC-A";"SSC-H";"SSC-W";"CD95";"CD8";"CD27";"CXCR4";"CCR7";"LIVE/DEAD";"CD4";"CD45RA";"CD3";"CD49b";"CD14/19";"CD69";"CD103";"TIME"
116102.2;93426;81442.76;90401.22;81122;73032.4;1592.976;7097.858;813.8378;107.9171;135.8397;4542.729;57.092;9078.881;4064.278;-14.39891;184.5594;83.08736;26.46893;78.9
84135.84;63553;86761.06;67333.5;59733;73874.88;3202.078;-86.74539;916.47;15.2499;-99.77065;610.2429;2201.492;140.3724;7522.708;125.1684;189.9526;242.7439;-19.13445;79.1
171957;139027;81058.88;86629.14;77779;72993.05;1259.849;-25.09366;796.6386;137.8989;-29.55422;535.9467;82.98534;8844.573;7767.526;-17.06316;75.5711;22.8386;58.36142;80
157055.7;139953;73544.73;66990.3;62949;69743.38;2123.047;-34.65156;1008.606;92.95672;86.53959;384.7173;1887.749;114.3304;5906.363;14.32298;119.3964;138.5949;19.49014;80.4
129152.8;112243;75409.24;64229.88;55639;75655.02;1880.489;-49.87619;1351.931;7.294504;2084.714;1356.821;2859.148;32.31379;5683.104;-7.296032;118.6157;70.13548;-0.08201599;81.5
174098.7;151785;75170.38;44671.38;43433;67404.59;30.1617;29.3182;1691.338;122.7982;1992.629;1730.854;1219.719;7553.05;6652.744;18.12654;108.4031;-137.5037;73.54344;81.6
124505.7;99894;81682.62;95048.45;79346;78505.47;1572.835;8037.262;1047.102;29.75278;20.01572;313.4846;89.23619;5575.179;3022.806;643.7628;499.9509;117.479;71.68829;81.9
163560.4;132183;81092.83;92802.05;84391;72067.82;3584.574;-26.16407;258.9156;-30.37868;228.7375;413.1141;2142.907;281.3021;5299.661;110.4394;180.2597;28.26988;-85.91911;83
159161.6;138451;75339.4;65633.88;61479;69965.05;2647.514;-52.89681;1160.569;31.03506;338.149;2629.177;1343.373;963.9833;6126.382;-44.88317;55.75827;124.639;11.37373;83.4
143112.9;121783;77014.42;53869.92;50451;69977.18;931.1156;8.411563;1300.223;-33.49255;2645.697;812.9594;2633.57;193.9967;3823.336;-48.5957;109.6166;-65.17496;7.7425;83.4
104904.1;85831;80099.25;72724.86;66775;71375.46;545.0103;7692.196;39.71627;12.7029;-82.0821;1422.313;66.89221;13638.98;5270.609;-5.433506;85.36526;54.10947;166.4717;83.5
114945.7;98935;76141.73;64489.62;60323;70062.7;2073.859;-99.79414;2458.753;60.71839;2494.311;954.5905;3985.645;237.0396;6219.958;121.9886;262.6548;-41.76618;12.5468;83.8
123913.6;106254;76428.23;70304.52;65578;70259.49;3489.428;-83.59881;2451.558;43.00723;895.889;798.7577;2134.289;213.3116;5623.138;23.23387;196.942;61.01491;36.52063;83.9
170654.3;152850;73169.76;83467.02;76502;71502.63;1869.954;-54.98383;620.4752;14.56046;209.5196;305.0637;1834.749;320.4472;6860.829;-28.2542;163.8605;159.3644;89.6286;84.3
109221.5;86586;82668.55;69572.09;63034;72333.6;2551.592;6306;777.6703;-14.86214;98.17081;1403.215;53.17347;229.424;5169.977;97.51008;-27.018;173.4198;-48.30444;85
180397.7;156322;75629.44;45826.56;41894;71687.81;834.4618;8484.033;2407.736;5.1123;1126.175;232.899;45.5026;1750.657;5879.988;37.84325;-13.14714;8.371268;74.57953;85.1
112830.2;97830;75584.58;41074.02;38982;69053.07;782.7124;-59.55869;1281.589;-8.724339;1739.245;188.1649;1720.998;438.1394;6290.23;8.710026;87.41229;20.09178;37.8632;85.2
167292.6;143095;76618.23;73401.12;66259;72600.19;1547.685;2912.535;2023.592;202.4157;205.1005;1536.631;9.819846;1422.162;6471.731;47.34271;60.5726;272.2625;44.94409;85.2
123743.9;101540;79866.85;87821.76;79204;72666.62;7006.897;-49.51472;3774.618;-82.0593;2597.618;752.3713;2857.65;217.2817;5183.154;195.1173;393.7068;157.3188;-54.47607;85.4
105863.9;91071;76181.2;61545.12;58175;69332.55;688.2634;2451.193;1754.356;150.3983;78.03036;1772.659;3.185128;98.2007;3344.142;26.89906;172.4125;4357.979;2.690369;86.2
89374.32;77802;75283.88;61788.48;59038;68589.2;641.1006;3745.146;1544.609;55.92015;2563.901;347.9315;124.951;10983.18;3814.758;-12.45335;130.2101;96.19474;145.453;86.4
148863.4;121886;80041.26;87641.58;79050;72658.8;2309.715;-33.76746;1385.814;14.7366;405.4353;264.2105;2114.545;286.3771;5275.126;63.01499;208.8935;295.46;-75.53664;86.6
139061.2;120674;75521.8;34033.74;31858;70011.77;33.8503;5295.013;1525.8;62.26632;833.5618;169.9168;97.22129;5330.626;2116.441;18.85394;99.01038;-58.90837;61.67157;86.9
107800.1;89434;78994.41;79200.41;67950;76386.73;2714.056;-32.15948;503.2294;138.7455;-49.89576;569.1909;1628.817;124.0746;6222.127;186.1056;264.4291;-65.15257;-26.53894;87
79508.7;67327;77393.66;53034.54;46523;74708.68;1946.324;3652.345;997.9465;-32.45176;73.83436;920.1185;82.34901;-29.70577;4310.078;-37.36515;122.77;22.28403;34.26862;88.3
125569.6;107735;76384.95;47489.52;44247;70338.63;1184.05;-44.07336;1054.488;93.3483;69.74004;420.2192;-4.43928;74.2517;3783.623;-12.01456;36.77454;4054.657;-30.89374;89.2
103076.3;87308;77372.18;69594.72;63916;71358.65;763.2933;4618.877;550.2679;13.97511;40.42108;1110.322;140.6554;276.3947;2517.803;28.57954;26.98304;-8.117188;77.15442;89.3
172958.8;156866;72259.32;43862.52;41666;68990.88;4523.413;-79.13639;826.3797;12.0256;560.5969;1313.28;1778.602;297.9948;6141.866;-5.331321;99.4828;25.19374;-46.30013;89.3
88335.87;75200;76983.77;44253.3;41408;70039.22;555.0435;1731.645;638.8149;165.8027;367.043;2009.742;144.8247;682.882;4892.343;452.1042;39.46374;43.07911;69.30975;89.3
142131;125803;74041.95;68596.32;63259;71065.44;2970.089;-46.27278;2141.158;-10.2214;1568.288;386.6822;3108.085;130.7294;6306.564;56.62277;128.1368;-75.21053;16.1736;90.8
77963.79;63138;80924.88;38076.48;35090;71113.72;220.2843;-59.85931;1364.876;6.299259;3131.76;835.3749;1977.385;1287.518;7415.783;9.864702;138.1129;6.238154;-7.81311;91.3
149011.7;129399;75469.15;54145.26;51239;69253.18;663.8487;-120.3055;1473.667;36.13231;2261.685;137.0988;3094.547;194.5089;6143.399;-35.641;57.48539;-94.34861;45.19006;91.7
173216.2;149050;76161.67;57661.5;50922;74209.66;3554.831;-60.44894;1902.543;58.1495;711.616;369.9988;2783.072;-51.93053;4283.889;87.54583;207.7535;-47.18712;29.76425;91.9
161889.2;136642;77645.01;78216.84;71938;71256.06;1796.77;-85.42103;2130.452;-18.66932;2698.729;331.666;3340.572;569.6932;10436.48;134.0563;175.2697;63.80616;12.54042;92
166500.5;136708;79818.11;69188.34;59812;75809.65;477.506;-9.142208;5620.676;45.2015;4415.268;603.5698;3457.492;3676.928;14082.16;514.3688;349.7267;-32.27177;94.72675;92.2
159129.2;128782;80979.41;82571.58;75802;71388.77;1589.265;-79.10394;3883.345;35.06368;1885.727;1878.357;2507.561;506.209;8858.265;88.20134;1.939905;47.31728;19.46912;92.2
93091.35;80442;75841.41;52335.66;46938;73072.34;204.6261;-3.581653;1511.155;78.2413;2789.667;1129.076;1813.941;1769.198;6734.248;10.02898;146.3708;-60.59677;39.27982;92.5
189987.4;163915;75960.17;86812.44;78923;72087.22;3819.534;8.873322;160.1943;-44.13478;181.8487;526.7624;2013.149;125.582;6572.644;406.1457;50.1358;96.43901;78.05917;92.9
175185.5;151247;75908.66;43553.64;40795;69967.67;3442.166;4.236223;1372.84;42.46595;1355.088;190.4936;2766.106;105.0069;3068.908;42.99016;179.5105;-110.5156;-0.9901886;94.4
98498.88;82542;78205.32;98819.76;87022;74420.86;3843.363;-30.83049;225.3514;92.80991;101.1572;2026.092;1387.709;221.2594;3743.409;87.10275;141.5709;49.05963;21.68597;94.4
128011.6;107779;77838.6;48222.72;43811;72135.4;125.2594;23.15059;1759.224;77.18412;2063.479;-83.39932;1895.698;5825.39;9131.024;-101.1726;289.701;-1.899912;87.09689;95.4
80836.95;68299;77566.73;42214.38;37803;73183.65;1495.312;-14.52685;695.7964;48.50177;742.9856;392.3181;1796.07;49.13709;4900.889;397.3265;184.0684;57.47803;31.98848;95.4
98560.98;84982;76007.77;48481.68;44198;71887.77;1324.239;-29.89893;494.1722;97.54655;967.1837;-111.277;1700.512;-15.22558;4328.467;7.639992;68.73555;671.8505;-17.19685;95.8
75205.17;63567;77534.67;55650.66;47531;76731.42;199.4939;14.5289;1805.458;-30.28144;4994.065;1267.507;1980.388;6500.964;7688.588;1207.943;299.0387;-0.1594017;38.91507;96.6
90134.7;75738;77993.45;47841.3;40762;76917.9;452.735;3178.181;172.1727;98.3922;44.50668;4672.762;-174.5733;429.6607;3741.211;99.61562;278.6271;4794.792;-10.8009;97.1
141141.6;123050;75171.51;35448.66;34090;68147.95;14.58775;26.73197;2154.327;122.3767;1745.893;1213.537;1564.869;8319.506;8487.621;-49.20247;235.6068;32.82228;48.84686;97.5
106042.6;84172;82564.41;75427.55;67576;73150.53;1244.79;9011.99;919.9125;33.91736;139.3153;1531.413;-116.7006;13184.13;3722.596;-23.98909;229.6909;-89.47034;73.01233;97.6
155173.4;134517;75599.7;75692.76;69169;71717.11;1383.877;8999.401;1986.307;71.43729;-38.02779;291.6256;85.47556;151.3285;7952.017;61.15876;40.58911;16.3761;-1.63092;97.8
94002.15;81519;75571.65;80570.09;72079;73256.31;1827.049;5610.66;870.2549;37.80438;152.0063;660.4827;133.7213;296.2224;3895.792;14.83571;110.8362;1075.59;53.11713;98.3
169218.4;148098;74882.13;58465.68;54146;70764.35;3285.087;2671.485;735.4995;31.00332;799.4818;813.8132;31.3582;549.4741;4739.057;-32.4416;-57.41812;117.3158;-56.56711;98.5
154991.3;130906;77593.91;79478.09;73358;71003.52;2663.744;7.366564;1542.376;44.02353;858.876;1123.779;2591.415;195.9663;8383.538;163.1744;153.9663;-26.39991;0.02212524;99.8
116225.7;98923;76998.93;77507.04;68459;74197.72;2291.764;1.325529;1981.027;-47.68548;2557.215;847.9573;3100.285;420.3015;6422.123;519.2162;327.6946;112.1297;67.27527;100.1
162029.3;140861;75384.59;70270.98;63497;72527.51;2198.748;9.305038;798.5747;-19.93925;52.04687;1844.996;-207.1747;15194.25;3626.675;102.8164;229.3857;27.41854;67.27173;100.3
185843.9;161566;75383.84;76921.26;69130;72922.2;978.4261;12079.81;85.11927;76.01405;27.08189;376.1265;116.8873;7751.979;6041.154;789.8231;234.9668;-47.33413;-50.20044;101
129241.8;109882;77082.62;51391.86;47150;71431.96;200.0522;7451.861;640.0103;43.251;2.384361;296.0234;48.45646;220.4202;3188.963;29.59085;35.46998;1106.595;3931.379;101.2
131803.8;110682;78042.45;50256.18;45902;71752.63;1287.205;28.21941;929.7764;54.8005;231.5202;598.3213;988.9834;221.3151;3891.002;62.70555;212.8713;-0.4453905;-51.2156;101.7
95467.71;81951;76345.28;54863.64;48831;73632.39;695.072;1635.235;739.2744;20.38767;97.92615;444.353;-29.0253;81.25364;2282.9;-10.69328;67.82912;2723.641;59.34583;101.8
143595.2;126110;74622.59;44705.7;38638;75827.75;106.5732;-97.08082;1789.277;-36.41959;2671.115;412.6103;2373.636;6941.874;6558.979;153.1333;315.6511;112.0227;78.88112;102
94550.7;83810;73934.79;47044.92;44534;69231.05;96.74451;-49.46567;776.9529;-4.90025;2387.861;382.8995;2516.974;1098.273;8124.533;-5.43959;258.7521;271.2248;46.90207;102.9
129862.1;115560;73646.98;32100.12;30780;68346.77;130.0469;-0.7232819;1299.342;47.70298;3973.549;236.3442;1968.051;4416.693;7220.232;-65.59439;147.7419;-73.13569;36.36597;103.4
131608.5;111882;77091.02;41873.52;39038;70296.2;583.1749;-33.70628;645.1181;-11.45225;2803.69;587.5826;1998.205;1013.369;2817.5;54.48805;133.7915;20.0237;84.4571;103.8
190403.4;163578;76283.36;51121.98;46906;71426.48;3819.405;5233.861;138.4966;27.53933;214.4031;490.1204;122.3137;289.9568;4671.529;-42.13053;16.80431;165.4428;-18.1922;104
88765.74;76558;75986.21;69375.54;62282;73000.15;1429.088;1305.69;199.2312;69.22192;-24.46671;115.5703;45.46541;807.6768;3354.183;-68.29048;79.24259;165.6512;-4.524551;104.6
99718.11;81318;80365.05;91314.59;81894;73074.88;1555.904;3525.795;1070.558;-7.87799;-13.35324;299.2364;20.09405;1352.346;5326.08;50.89111;-5.853274;43.4794;-1.390076;104.8
164324.2;137100;78549.6;51788.1;47212;71888.19;875.6648;-39.72093;1705.371;24.89711;1748.13;125.8483;2576.621;-28.61845;7303.413;-9.395869;213.7252;-98.09182;31.5912;105.5
